timestamp_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,udp_host,udp_port,raw_line
2026-07-12T17:48:17.101760+00:00,1,,0,3455,0,12000,500,6000,hd,0,2E,2E,127.0.0.1,5005,"p3,seq=03455,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2E,raw=00"
2026-07-12T17:48:18.108689+00:00,1,,0,3456,0,12000,500,6000,hd,0,D1,D1,127.0.0.1,5005,"p3,seq=03456,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D1,raw=00"
2026-07-12T17:48:19.120288+00:00,1,,0,3457,0,12000,500,6000,hd,0,D0,D0,127.0.0.1,5005,"p3,seq=03457,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D0,raw=00"
2026-07-12T17:48:20.127385+00:00,1,,0,3458,0,12000,500,6000,hd,0,D3,D3,127.0.0.1,5005,"p3,seq=03458,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D3,raw=00"
2026-07-12T17:48:21.132415+00:00,1,,0,3459,0,12000,500,6000,hd,0,D2,D2,127.0.0.1,5005,"p3,seq=03459,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D2,raw=00"
2026-07-12T17:48:22.138702+00:00,1,,0,3460,0,12000,500,6000,hd,0,D5,D5,127.0.0.1,5005,"p3,seq=03460,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D5,raw=00"
2026-07-12T17:48:23.146923+00:00,1,,0,3461,0,12000,500,6000,hd,0,D4,D4,127.0.0.1,5005,"p3,seq=03461,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D4,raw=00"
2026-07-12T17:48:24.158082+00:00,1,,0,3462,0,12000,500,6000,hd,0,D7,D7,127.0.0.1,5005,"p3,seq=03462,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D7,raw=00"
2026-07-12T17:48:25.164108+00:00,1,,0,3463,0,12000,500,6000,hd,0,D6,D6,127.0.0.1,5005,"p3,seq=03463,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D6,raw=00"
2026-07-12T17:48:26.169333+00:00,1,,0,3464,0,12000,500,6000,hd,0,D9,D9,127.0.0.1,5005,"p3,seq=03464,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D9,raw=00"
