timestamp_utc,rx_count,action,sender,seq,seq_gap,valid,error,forward_host,forward_port,raw_line
2026-08-05T05:04:15.190106+00:00,39,forward,192.168.1.30:58686,38,0,1,,127.0.0.1,5011,"trk,seq=00038,pan=105.51,tilt=094.73,sun_pan=078.54,sun_tilt=084.94,err=28.68,state=seeking,ldr=3682/2875/4067/3260"
2026-08-05T05:04:16.193753+00:00,40,forward,192.168.1.30:58686,39,0,1,,127.0.0.1,5011,"trk,seq=00039,pan=103.31,tilt=093.71,sun_pan=074.96,sun_tilt=083.65,err=30.08,state=seeking,ldr=3654/2815/4044/3206"
2026-08-05T05:04:17.194590+00:00,41,forward,192.168.1.30:58686,40,0,1,,127.0.0.1,5011,"trk,seq=00040,pan=101.01,tilt=092.66,sun_pan=071.50,sun_tilt=082.38,err=31.25,state=seeking,ldr=3628/2764/4023/3159"
2026-08-05T05:04:18.197258+00:00,42,drop,192.168.1.30:58686,41,,1,,127.0.0.1,5011,"trk,seq=00041,pan=098.65,tilt=091.59,sun_pan=068.19,sun_tilt=081.13,err=32.21,state=seeking,ldr=3605/2722/4004/3121"
2026-08-05T05:04:19.200214+00:00,43,forward,192.168.1.30:58686,42,1,1,,127.0.0.1,5011,"trk,seq=00042,pan=096.23,tilt=090.51,sun_pan=065.05,sun_tilt=079.92,err=32.93,state=seeking,ldr=3588/2690/3989/3091"
2026-08-05T05:04:20.200357+00:00,44,forward,192.168.1.30:58686,43,0,1,,127.0.0.1,5011,"trk,seq=00043,pan=093.78,tilt=089.42,sun_pan=062.12,sun_tilt=078.73,err=33.41,state=seeking,ldr=3576/2669/3979/3072"
2026-08-05T05:04:21.202688+00:00,45,forward_corrupt,192.168.1.30:58686,44,0,0,proxy_injected_corruption,127.0.0.1,5011,"trk,seq=00044,pan=091.30,tilt=088.32,sun_pan=059.41,sun_tilt=077.59,err=33.65,state=seeking,ldr=3570/2658/3974/3062"
2026-08-05T05:04:22.205383+00:00,46,forward,192.168.1.30:58686,45,0,1,,127.0.0.1,5011,"trk,seq=00045,pan=088.83,tilt=087.23,sun_pan=056.95,sun_tilt=076.49,err=33.64,state=seeking,ldr=3570/2659/3974/3062"
2026-08-05T05:04:23.204906+00:00,47,forward,192.168.1.30:58686,46,0,1,,127.0.0.1,5011,"trk,seq=00046,pan=086.37,tilt=086.14,sun_pan=054.75,sun_tilt=075.44,err=33.38,state=seeking,ldr=3577/2670/3980/3073"
2026-08-05T05:04:24.209449+00:00,48,forward,192.168.1.30:58686,47,0,1,,127.0.0.1,5011,"trk,seq=00047,pan=083.96,tilt=085.06,sun_pan=052.85,sun_tilt=074.45,err=32.87,state=seeking,ldr=3589/2693/3991/3094"
2026-08-05T05:04:25.210737+00:00,49,drop,192.168.1.30:58686,48,,1,,127.0.0.1,5011,"trk,seq=00048,pan=081.60,tilt=083.99,sun_pan=051.24,sun_tilt=073.51,err=32.12,state=seeking,ldr=3607/2726/4006/3125"
2026-08-05T05:04:26.213279+00:00,50,forward,192.168.1.30:58686,49,1,1,,127.0.0.1,5011,"trk,seq=00049,pan=079.32,tilt=082.94,sun_pan=049.94,sun_tilt=072.64,err=31.13,state=seeking,ldr=3629/2769/4026/3165"
2026-08-05T05:04:27.214445+00:00,51,forward,192.168.1.30:58686,50,0,1,,127.0.0.1,5011,"trk,seq=00050,pan=077.14,tilt=081.91,sun_pan=048.97,sun_tilt=071.83,err=29.91,state=seeking,ldr=3656/2821/4048/3214"
2026-08-05T05:04:28.216656+00:00,52,forward,192.168.1.30:58686,51,0,1,,127.0.0.1,5011,"trk,seq=00051,pan=075.06,tilt=080.91,sun_pan=048.33,sun_tilt=071.10,err=28.48,state=seeking,ldr=3684/2883/4071/3270"
2026-08-05T05:04:29.218765+00:00,53,forward,192.168.1.30:58686,52,0,1,,127.0.0.1,5011,"trk,seq=00052,pan=073.11,tilt=079.94,sun_pan=048.03,sun_tilt=070.43,err=26.83,state=seeking,ldr=3715/2952/4094/3332"
2026-08-05T05:04:30.222131+00:00,54,forward_corrupt,192.168.1.30:58686,53,0,0,proxy_injected_corruption,127.0.0.1,5011,"trk,seq=00053,pan=071.33,tilt=079.03,sun_pan=048.06,sun_tilt=069.84,err=25.02,state=seeking,ldr=3745/3029/4095/3400"
2026-08-05T05:04:31.224232+00:00,55,forward,192.168.1.30:58686,54,0,1,,127.0.0.1,5011,"trk,seq=00054,pan=069.73,tilt=078.18,sun_pan=048.44,sun_tilt=069.33,err=23.06,state=seeking,ldr=3772/3109/4095/3470"
2026-08-05T05:04:32.226152+00:00,56,drop,192.168.1.30:58686,55,,1,,127.0.0.1,5011,"trk,seq=00055,pan=068.31,tilt=077.38,sun_pan=049.15,sun_tilt=068.90,err=20.95,state=seeking,ldr=3797/3192/4095/3543"
2026-08-05T05:04:33.227853+00:00,57,forward,192.168.1.30:58686,56,1,1,,127.0.0.1,5011,"trk,seq=00056,pan=067.07,tilt=076.63,sun_pan=050.19,sun_tilt=068.55,err=18.71,state=seeking,ldr=3816/3278/4095/3615"
2026-08-05T05:04:34.229096+00:00,58,forward,192.168.1.30:58686,57,0,1,,127.0.0.1,5011,"trk,seq=00057,pan=066.02,tilt=075.93,sun_pan=051.55,sun_tilt=068.29,err=16.36,state=seeking,ldr=3831/3364/4095/3687"
2026-08-05T05:04:35.230762+00:00,59,forward,192.168.1.30:58686,58,0,1,,127.0.0.1,5011,"trk,seq=00058,pan=065.15,tilt=075.26,sun_pan=053.23,sun_tilt=068.11,err=13.90,state=seeking,ldr=3839/3450/4095/3756"
2026-08-05T05:04:36.230931+00:00,60,forward,192.168.1.30:58686,59,0,1,,127.0.0.1,5011,"trk,seq=00059,pan=064.47,tilt=074.62,sun_pan=055.20,sun_tilt=068.01,err=11.38,state=seeking,ldr=3840/3535/4095/3821"
2026-08-05T05:04:37.233205+00:00,61,forward,192.168.1.30:58686,60,0,1,,127.0.0.1,5011,"trk,seq=00060,pan=063.97,tilt=074.01,sun_pan=057.45,sun_tilt=068.01,err=08.86,state=locked,ldr=3834/3618/4095/3880"
2026-08-05T05:04:38.235435+00:00,62,forward,192.168.1.30:58686,61,0,1,,127.0.0.1,5011,"trk,seq=00061,pan=063.68,tilt=073.46,sun_pan=059.97,sun_tilt=068.09,err=06.53,state=locked,ldr=3820/3696/4056/3932"
2026-08-05T05:04:39.239767+00:00,63,drop,192.168.1.30:58686,62,,1,,127.0.0.1,5011,"trk,seq=00062,pan=063.61,tilt=072.98,sun_pan=062.73,sun_tilt=068.25,err=04.81,state=locked,ldr=3797/3768/4006/3976"
2026-08-05T05:04:40.240228+00:00,64,forward,192.168.1.30:58686,63,1,1,,127.0.0.1,5011,"trk,seq=00063,pan=063.76,tilt=072.56,sun_pan=065.70,sun_tilt=068.50,err=04.51,state=locked,ldr=3766/3831/3945/4011"
2026-08-05T05:04:41.242032+00:00,65,forward,192.168.1.30:58686,64,0,1,,127.0.0.1,5011,"trk,seq=00064,pan=064.13,tilt=072.22,sun_pan=068.88,sun_tilt=068.83,err=05.83,state=locked,ldr=3727/3886/3876/4035"
2026-08-05T05:04:42.244528+00:00,66,forward,192.168.1.30:58686,65,0,1,,127.0.0.1,5011,"trk,seq=00065,pan=064.71,tilt=071.94,sun_pan=072.23,sun_tilt=069.25,err=07.98,state=locked,ldr=3681/3932/3799/4050"
2026-08-05T05:04:43.246809+00:00,67,forward,192.168.1.30:58686,66,0,1,,127.0.0.1,5011,"trk,seq=00066,pan=065.51,tilt=071.74,sun_pan=075.71,sun_tilt=069.75,err=10.40,state=seeking,ldr=3630/3968/3717/4055"
2026-08-05T05:04:44.248524+00:00,68,forward,192.168.1.30:58686,67,0,1,,127.0.0.1,5011,"trk,seq=00067,pan=066.50,tilt=071.61,sun_pan=079.32,sun_tilt=070.32,err=12.88,state=seeking,ldr=3573/3995/3629/4050"
