target_ber,frames,bits_sent,bit_errors,measured_ber,corrupted_frames,frame_error_rate,crc_detected_errors,undetected_errors
0.0,1000,696000,0,0.00000000,0,0.00000000,0,0
1e-05,1000,696000,5,0.00000718,5,0.00500000,5,0
0.0001,1000,696000,72,0.00010345,71,0.07100000,71,0
0.001,1000,696000,713,0.00102443,500,0.50000000,499,1
0.01,1000,696000,6849,0.00984052,996,0.99600000,995,1
