timestamp_utc,seq,gap,frame_ok,payload_bytes,frame_bytes,frame_bits,qpsk_symbols,ofdm_symbols,pad_q,tx_samples,fft_samples,cp_samples,pilot_bins,compact_payload
2026-08-10T06:54:04.531590+00:00,0,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00000,pan=090.0,tilt=090.0,sun_pan=043.0,sun_tilt=060.8,err=055.3,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:05.040858+00:00,1,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00001,pan=087.0,tilt=090.0,sun_pan=043.1,sun_tilt=061.8,err=052.2,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:05.550071+00:00,2,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00002,pan=084.0,tilt=090.0,sun_pan=043.3,sun_tilt=061.8,err=049.5,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:06.047205+00:00,3,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00003,pan=081.0,tilt=090.0,sun_pan=042.7,sun_tilt=060.5,err=048.3,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:06.558098+00:00,4,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00004,pan=078.0,tilt=090.0,sun_pan=042.5,sun_tilt=060.4,err=046.3,st=seek,v_mv=00062,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:07.053482+00:00,5,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00005,pan=075.0,tilt=090.0,sun_pan=042.4,sun_tilt=059.8,err=044.4,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:07.564829+00:00,6,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00006,pan=072.0,tilt=090.0,sun_pan=042.6,sun_tilt=059.7,err=042.2,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:08.076498+00:00,7,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00007,pan=069.0,tilt=090.0,sun_pan=042.5,sun_tilt=060.3,err=039.9,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:08.570850+00:00,8,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00008,pan=066.0,tilt=090.0,sun_pan=042.3,sun_tilt=059.7,err=038.4,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:09.082847+00:00,9,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00009,pan=063.0,tilt=090.0,sun_pan=042.5,sun_tilt=060.1,err=036.2,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:09.578855+00:00,10,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00010,pan=060.0,tilt=090.0,sun_pan=042.5,sun_tilt=060.1,err=034.6,st=seek,v_mv=00062,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:10.089524+00:00,11,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00011,pan=057.0,tilt=090.0,sun_pan=042.5,sun_tilt=059.8,err=033.5,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:10.623418+00:00,12,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00012,pan=054.0,tilt=090.0,sun_pan=042.4,sun_tilt=060.5,err=031.7,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:11.096467+00:00,13,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00013,pan=051.0,tilt=090.0,sun_pan=042.6,sun_tilt=059.9,err=031.2,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:11.607484+00:00,14,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00014,pan=048.0,tilt=090.0,sun_pan=042.8,sun_tilt=059.5,err=031.0,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:12.104164+00:00,15,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00015,pan=045.0,tilt=090.0,sun_pan=042.7,sun_tilt=059.4,err=030.7,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:12.676088+00:00,16,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00016,pan=043.0,tilt=090.0,sun_pan=043.0,sun_tilt=058.8,err=031.2,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:13.110833+00:00,17,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00017,pan=043.0,tilt=090.0,sun_pan=042.9,sun_tilt=058.8,err=031.2,st=seek,v_mv=00067,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:13.696387+00:00,18,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00018,pan=043.0,tilt=087.0,sun_pan=042.8,sun_tilt=058.7,err=028.3,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
2026-08-10T06:54:14.133583+00:00,19,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00019,pan=043.0,tilt=084.0,sun_pan=042.6,sun_tilt=059.0,err=025.0,st=seek,v_mv=00058,i_ma=00000,p_mw=00000,src=mcp,act=sw"
