timestamp_utc,rx_count,action,sender,seq,seq_gap,valid,error,forward_host,forward_port,raw_line
2026-08-05T10:22:07.131448+00:00,29,forward,127.0.0.1:65520,28,1,1,,127.0.0.1,5011,"trk,seq=00028,pan=119.01,tilt=102.38,sun_pan=114.51,sun_tilt=097.64,err=06.53,state=locked,ldr=3847/3697/4055/3905"
2026-08-05T10:22:08.135912+00:00,30,forward,127.0.0.1:65520,29,0,1,,127.0.0.1,5011,"trk,seq=00029,pan=118.46,tilt=101.83,sun_pan=111.35,sun_tilt=096.47,err=08.90,state=locked,ldr=3858/3622/4092/3856"
2026-08-05T10:22:09.142768+00:00,31,forward,127.0.0.1:65520,30,0,1,,127.0.0.1,5011,"trk,seq=00030,pan=117.73,tilt=101.25,sun_pan=108.01,sun_tilt=095.27,err=11.41,state=seeking,ldr=3861/3541/4095/3800"
2026-08-05T10:22:10.141368+00:00,32,forward,127.0.0.1:65520,31,0,1,,127.0.0.1,5011,"trk,seq=00031,pan=116.83,tilt=100.63,sun_pan=104.53,sun_tilt=094.03,err=13.96,state=seeking,ldr=3856/3455/4095/3737"
2026-08-05T10:22:11.151195+00:00,33,forward,127.0.0.1:65520,32,0,1,,127.0.0.1,5011,"trk,seq=00032,pan=115.75,tilt=099.96,sun_pan=100.94,sun_tilt=092.76,err=16.47,state=seeking,ldr=3844/3366/4095/3670"
2026-08-05T10:22:12.142627+00:00,34,forward,127.0.0.1:65520,33,0,1,,127.0.0.1,5011,"trk,seq=00033,pan=114.48,tilt=099.24,sun_pan=097.25,sun_tilt=091.48,err=18.89,state=seeking,ldr=3825/3276/4095/3600"
2026-08-05T10:22:13.148299+00:00,35,forward,127.0.0.1:65520,34,0,1,,127.0.0.1,5011,"trk,seq=00034,pan=113.02,tilt=098.46,sun_pan=093.50,sun_tilt=090.18,err=21.20,state=seeking,ldr=3801/3186/4095/3528"
2026-08-05T10:22:14.146742+00:00,36,forward,127.0.0.1:65520,35,0,1,,127.0.0.1,5011,"trk,seq=00035,pan=111.38,tilt=097.61,sun_pan=089.73,sun_tilt=088.87,err=23.35,state=seeking,ldr=3773/3099/4095/3456"
2026-08-05T10:22:15.150883+00:00,37,forward,127.0.0.1:65520,36,0,1,,127.0.0.1,5011,"trk,seq=00036,pan=109.57,tilt=096.70,sun_pan=085.96,sun_tilt=087.56,err=25.32,state=seeking,ldr=3743/3018/4095/3386"
2026-08-05T10:22:16.150028+00:00,38,forward,127.0.0.1:65520,37,0,1,,127.0.0.1,5011,"trk,seq=00037,pan=107.60,tilt=095.73,sun_pan=082.22,sun_tilt=086.25,err=27.09,state=seeking,ldr=3712/2943/4090/3321"
